Introducing contestants...
* Player 1, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
* Player 2, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
cycle 168, carriage 1, op_code 11, car pos 2177
cycle 168, carriage 0, op_code 11, car pos 129

cycle 169, carriage 1, op_code 11, car pos 2177
cycle 169, carriage 0, op_code 11, car pos 129

cycle 170, carriage 1, op_code 11, car pos 2177
cycle 170, carriage 0, op_code 11, car pos 129

cycle 171, carriage 1, op_code 11, car pos 2177
cycle 171, carriage 0, op_code 11, car pos 129

cycle 172, carriage 1, op_code 11, car pos 2177
cycle 172, carriage 0, op_code 11, car pos 129

cycle 173, carriage 1, op_code 11, car pos 2177
cycle 173, carriage 0, op_code 11, car pos 129

cycle 174, carriage 1, op_code 11, car pos 2177
cycle 174, carriage 0, op_code 11, car pos 129

cycle 175, carriage 1, op_code 11, car pos 2177
cycle 175, carriage 0, op_code 11, car pos 129

cycle 176, carriage 1, op_code 11, car pos 2177
cycle 176, carriage 0, op_code 11, car pos 129

cycle 177, carriage 1, op_code 11, car pos 2177
cycle 177, carriage 0, op_code 11, car pos 129

cycle 178, carriage 1, op_code 11, car pos 2177
cycle 178, carriage 0, op_code 11, car pos 129

cycle 179, carriage 1, op_code 11, car pos 2177
cycle 179, carriage 0, op_code 11, car pos 129

cycle 180, carriage 1, op_code 11, car pos 2177
cycle 180, carriage 0, op_code 11, car pos 129

cycle 181, carriage 1, op_code 11, car pos 2177
cycle 181, carriage 0, op_code 11, car pos 129

cycle 182, carriage 1, op_code 11, car pos 2177
cycle 182, carriage 0, op_code 11, car pos 129

cycle 183, carriage 1, op_code 11, car pos 2177
cycle 183, carriage 0, op_code 11, car pos 129

cycle 184, carriage 1, op_code 11, car pos 2177
cycle 184, carriage 0, op_code 11, car pos 129

cycle 185, carriage 1, op_code 11, car pos 2177
cycle 185, carriage 0, op_code 11, car pos 129

cycle 186, carriage 1, op_code 11, car pos 2177
cycle 186, carriage 0, op_code 11, car pos 129

cycle 187, carriage 1, op_code 11, car pos 2177
cycle 187, carriage 0, op_code 11, car pos 129

cycle 188, carriage 1, op_code 11, car pos 2177
cycle 188, carriage 0, op_code 11, car pos 129

cycle 189, carriage 1, op_code 11, car pos 2177
cycle 189, carriage 0, op_code 11, car pos 129

cycle 190, carriage 1, op_code 11, car pos 2177
cycle 190, carriage 0, op_code 11, car pos 129

cycle 191, carriage 1, op_code 11, car pos 2184
cycle 191, carriage 0, op_code 11, car pos 136

cycle 192, carriage 1, op_code 11, car pos 2184
cycle 192, carriage 0, op_code 11, car pos 136

cycle 193, carriage 1, op_code 11, car pos 2184
cycle 193, carriage 0, op_code 11, car pos 136

cycle 194, carriage 1, op_code 11, car pos 2184
cycle 194, carriage 0, op_code 11, car pos 136

cycle 195, carriage 1, op_code 11, car pos 2184
cycle 195, carriage 0, op_code 11, car pos 136

cycle 196, carriage 1, op_code 11, car pos 2184
cycle 196, carriage 0, op_code 11, car pos 136

cycle 197, carriage 1, op_code 11, car pos 2184
cycle 197, carriage 0, op_code 11, car pos 136

cycle 198, carriage 1, op_code 11, car pos 2184
cycle 198, carriage 0, op_code 11, car pos 136

cycle 199, carriage 1, op_code 11, car pos 2184
cycle 199, carriage 0, op_code 11, car pos 136

cycle 200, carriage 1, op_code 11, car pos 2184
cycle 200, carriage 0, op_code 11, car pos 136

cycle 201, carriage 1, op_code 11, car pos 2184
cycle 201, carriage 0, op_code 11, car pos 136

cycle 202, carriage 1, op_code 11, car pos 2184
cycle 202, carriage 0, op_code 11, car pos 136

cycle 203, carriage 1, op_code 11, car pos 2184
cycle 203, carriage 0, op_code 11, car pos 136

cycle 204, carriage 1, op_code 11, car pos 2184
cycle 204, carriage 0, op_code 11, car pos 136

cycle 205, carriage 1, op_code 11, car pos 2184
